ProvinceName,KabupatenName,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
ACEH,ACEH SELATAN,TRUMON TIMUR,0,0,0
ACEH,ACEH SELATAN,KLUET TENGAH,0,0,0
ACEH,ACEH SELATAN,KOTA BAHAGIA,1172,1389,2561
ACEH,ACEH SELATAN,BAKONGAN,0,0,0
ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,0,0,0
ACEH,ACEH SELATAN,LABUHAN HAJI BARAT,3584,3200,6784
ACEH,ACEH SELATAN,BAKONGAN TIMUR,1027,1230,2257
ACEH,ACEH SELATAN,KLUET TIMUR,2552,1689,4241
ACEH,ACEH SELATAN,SAMADUA,6333,2476,8809
ACEH,ACEH SELATAN,SAWANG,4676,2743,7419
ACEH,ACEH SELATAN,MEUKEK,5016,3676,8692
ACEH,ACEH SELATAN,TAPAKTUAN,7752,3401,11153
ACEH,ACEH SELATAN,KLUET UTARA,5194,5108,10302
ACEH,ACEH SELATAN,PASIE RAJA,3470,2925,6395
ACEH,ACEH SELATAN,TRUMON,950,1174,2124
ACEH,ACEH TENGGARA,TANOH ALAS,1398,881,2279
ACEH,ACEH SELATAN,KLUET SELATAN,2779,3259,6038
ACEH,ACEH TENGGARA,DELENG POKHKISEN,0,0,0
ACEH,ACEH SELATAN,LABUHAN HAJI,0,0,0
ACEH,ACEH TENGGARA,LAWE ALAS,7473,2030,9503
ACEH,ACEH TENGGARA,SEMADAM,0,0,0
ACEH,ACEH SELATAN,TRUMON TENGAH,0,0,0
ACEH,ACEH TENGGARA,LAWE BULAN,6165,2590,8755
ACEH,ACEH TENGGARA,LAWE SUMUR,0,0,0
ACEH,ACEH TENGGARA,BABUL RAHMAH,0,0,0
ACEH,ACEH TENGGARA,KETAMBE,3705,2347,6052
ACEH,ACEH TENGGARA,BUKIT TUSAM,0,0,0
ACEH,ACEH TENGGARA,DARUL HASANAH,0,0,0
ACEH,ACEH TIMUR,BANDA ALAM,960,1731,2691
ACEH,ACEH TENGGARA,BAMBEL,7774,2528,10302
ACEH,ACEH TENGGARA,BABUL MAKMUR,0,0,0
ACEH,ACEH TENGGARA,BABUSSALAM,0,0,0
ACEH,ACEH TIMUR,DARUL AMAN,2354,3297,5651
ACEH,ACEH TENGGARA,BADAR,0,0,0
ACEH,ACEH TIMUR,DARUL IHSAN,1155,1195,2350
ACEH,ACEH TIMUR,PEUDAWA,1637,1673,3310
ACEH,ACEH TENGGARA,LEUSER,0,0,0
ACEH,ACEH TIMUR,INDRA MAKMU,4063,1733,5796
ACEH,ACEH TIMUR,MADAT,3393,3941,7334
ACEH,ACEH TIMUR,IDI TUNONG,1746,1748,3494
ACEH,ACEH TIMUR,PEUREULAK TIMUR,1391,2678,4069
ACEH,ACEH TIMUR,SUNGAI RAYA,1477,1872,3349
ACEH,ACEH TIMUR,IDI RAYEUK,5577,5106,10683
ACEH,ACEH TIMUR,DARUL FALAH,442,1084,1526
ACEH,ACEH TIMUR,SERBAJADI,1893,1267,3160
ACEH,ACEH TIMUR,PEUREULAK,4870,6850,11720
ACEH,ACEH TIMUR,PEUREULAK BARAT,2282,2048,4330
ACEH,ACEH TENGAH,LINGE,2239,3127,5366
ACEH,ACEH TIMUR,SIMPANG JERNIH,1300,544,1844
ACEH,ACEH TIMUR,RANTAU SELAMAT,1835,1942,3777
ACEH,ACEH TIMUR,SIMPANG ULIM,2492,2775,5267
ACEH,ACEH TIMUR,IDI TIMUR,824,1153,1977
ACEH,ACEH TIMUR,JULOK,3589,4736,8325
ACEH,ACEH TIMUR,PANTE BIDARI,2626,4052,6678
ACEH,ACEH TIMUR,RANTAU PEUREULAK,5339,3238,8577
ACEH,ACEH TIMUR,PEUNARON,2315,1801,4116
ACEH,ACEH TENGAH,CELALA,1747,3106,4853
ACEH,ACEH TIMUR,NURUSSALAM,2570,3702,6272
ACEH,ACEH TIMUR,BIREM BAYEUN,8471,3382,11853
ACEH,ACEH TENGAH,PEGASING,3528,6690,10218
ACEH,ACEH TENGAH,KEBAYAKAN,3047,4750,7797
ACEH,ACEH TENGAH,RUSIP ANTARA,1525,2194,3719
ACEH,ACEH TENGAH,BIES,1865,2243,4108
ACEH,ACEH TENGAH,LAUT TAWAR,3987,5035,9022
ACEH,ACEH TENGAH,KETOL,3311,3819,7130
ACEH,ACEH TENGAH,ATU LINTANG,1972,1413,3385
ACEH,ACEH BARAT,WOYLA BARAT,2425,1714,4139
ACEH,ACEH BARAT,PANTE CEUREUMEN,3245,2270,5515
ACEH,ACEH TENGAH,KUTE PANANG,1463,2745,4208
ACEH,ACEH TENGAH,JAGONG JEGET,3274,1968,5242
ACEH,ACEH TENGAH,SILIH NARA,4403,7420,11823
ACEH,ACEH TENGAH,BEBESEN,6936,9334,16270
