,,pilpres2014.org,,,Rincian Republika,
,ProvinceName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes,PS,JKW
1,ACEH,1089290,913309,2002599,1089290,913309
53241,BALI,614241,1535110,2149351,614241,1535110
51578,BANTEN,3192671,2398631,5591302,3192671,2398631
20802,BENGKULU,433173,523669,956842,433173,523669
41863,DAERAH ISTIMEWA YOGYAKARTA,977342,1234249,2211591,977342,1234249
25823,DKI JAKARTA,2528064,2859894,5387958,2528064,2859894
74716,GORONTALO,378735,221497,600232,378735,221497
15885,JAMBI,871316,897787,1769103,871316,897787
26141,JAWA BARAT,14167381,9530315,23697696,14167381,9530315
32676,JAWA TENGAH,6485720,12959540,19445260,6485720,12959540
42385,JAWA TIMUR,10277088,11669313,21946401,10277088,11669313
58285,KALIMANTAN BARAT,1032354,1573046,2605400,1032354,1573046
61965,KALIMANTAN SELATAN,941809,939748,1881557,941809,939748
60371,KALIMANTAN TENGAH,468277,696199,1164476,468277,696199
64111,KALIMANTAN TIMUR,687734,1190156,1877890,687734,1190156
24993,KEPULAUAN BANGKA BELITUNG,200706,412359,613065,200706,412359
25405,KEPULAUAN RIAU,332908,491819,824727,332908,491819
22328,LAMPUNG,2033924,2299889,4333813,2033924,2299889
76096,MALUKU,433981,443040,877021,433981,443040
77085,MALUKU UTARA,306792,256601,563393,306792,256601
54020,NUSA TENGGARA BARAT,1844178,701238,2545416,1844178,701238
55065,NUSA TENGGARA TIMUR,769391,1488076,2257467,769391,1488076
78203,PAPUA,769132,2026735,2795867,769132,2026735
81877,PAPUA BARAT,172528,360379,532907,172528,360379
14086,RIAU,1349338,1342817,2692155,1349338,1342817
75425,SULAWESI BARAT,165494,456021,621515,165494,456021
69268,SULAWESI SELATAN,1214857,3037026,4251883,1214857,3037026
67393,SULAWESI TENGAH,632009,767151,1399160,632009,767151
72551,SULAWESI TENGGARA,511134,622217,1133351,511134,622217
65702,SULAWESI UTARA,620095,724553,1344648,620095,724553
12920,SUMATERA BARAT,1797505,539308,2336813,1797505,539308
17404,SUMATERA SELATAN,2132163,2027049,4159212,2132163,2027049
6728,SUMATERA UTARA,2831514,3494835,6326349,2831514,3494835
,,172528,360379,532907,172528,360379
,,62435372,70993955,,62435372,70993955
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
